time,open,high,low,close,Volume
2025-05-01T02:30:00+05:30,1.13293,1.13302,1.13279,1.133,65
2025-05-01T02:45:00+05:30,1.133,1.13309,1.133,1.13306,40
2025-05-01T03:00:00+05:30,1.13295,1.13322,1.1329,1.13292,402
2025-05-01T03:15:00+05:30,1.13291,1.13302,1.1328,1.13286,117
2025-05-01T03:30:00+05:30,1.13284,1.13314,1.1326,1.13268,684
2025-05-01T03:45:00+05:30,1.13268,1.13285,1.13224,1.1324,577
2025-05-01T04:00:00+05:30,1.1324,1.13286,1.13226,1.13258,502
2025-05-01T04:15:00+05:30,1.13258,1.1328,1.1325,1.13256,400
2025-05-01T04:30:00+05:30,1.13257,1.13257,1.13198,1.132,650
2025-05-01T04:45:00+05:30,1.132,1.13246,1.1319,1.13243,552
2025-05-01T05:00:00+05:30,1.13244,1.13261,1.13222,1.13246,647
2025-05-01T05:15:00+05:30,1.13245,1.13262,1.13213,1.13222,787
2025-05-01T05:30:00+05:30,1.13221,1.13282,1.13221,1.13279,1436
2025-05-01T05:45:00+05:30,1.13278,1.13296,1.1326,1.13286,1144
2025-05-01T06:00:00+05:30,1.13286,1.13294,1.13212,1.13227,1098
2025-05-01T06:15:00+05:30,1.13228,1.13252,1.13206,1.13218,1468
2025-05-01T06:30:00+05:30,1.13218,1.13222,1.13116,1.13146,1251
2025-05-01T06:45:00+05:30,1.13145,1.13156,1.13101,1.1311,1184
2025-05-01T07:00:00+05:30,1.13109,1.13153,1.13094,1.1311,910
2025-05-01T07:15:00+05:30,1.1311,1.13116,1.1303,1.13084,936
2025-05-01T07:30:00+05:30,1.13083,1.13118,1.13059,1.13098,669
2025-05-01T07:45:00+05:30,1.131,1.13147,1.131,1.13139,531
2025-05-01T08:00:00+05:30,1.1314,1.1315,1.13112,1.13122,860
2025-05-01T08:15:00+05:30,1.13122,1.13163,1.13116,1.13154,703
2025-05-01T08:30:00+05:30,1.13154,1.13188,1.13032,1.13066,2271
2025-05-01T08:45:00+05:30,1.13065,1.131,1.13047,1.13054,1082
2025-05-01T09:00:00+05:30,1.13053,1.13054,1.12996,1.13016,1583
2025-05-01T09:15:00+05:30,1.13014,1.13122,1.13012,1.13122,1210
2025-05-01T09:30:00+05:30,1.13122,1.13144,1.13078,1.1313,1157
2025-05-01T09:45:00+05:30,1.13129,1.1313,1.13076,1.13094,833
2025-05-01T10:00:00+05:30,1.13094,1.13096,1.13052,1.13077,966
2025-05-01T10:15:00+05:30,1.13078,1.13109,1.13026,1.13026,904
2025-05-01T10:30:00+05:30,1.13027,1.13066,1.12969,1.12986,1440
2025-05-01T10:45:00+05:30,1.12984,1.1303,1.1288,1.12884,1963
2025-05-01T11:00:00+05:30,1.12886,1.13,1.12881,1.12966,1495
2025-05-01T11:15:00+05:30,1.12966,1.13026,1.12944,1.12999,1415
2025-05-01T11:30:00+05:30,1.12998,1.13074,1.12982,1.13072,1835
2025-05-01T11:45:00+05:30,1.13072,1.13099,1.13024,1.13074,1738
2025-05-01T12:00:00+05:30,1.13074,1.13126,1.1302,1.13076,2377
2025-05-01T12:15:00+05:30,1.13076,1.13082,1.13002,1.13027,2800
2025-05-01T12:30:00+05:30,1.13025,1.1304,1.12898,1.12932,3093
2025-05-01T12:45:00+05:30,1.12933,1.12964,1.12876,1.12921,1985
2025-05-01T13:00:00+05:30,1.1292,1.13042,1.1292,1.13038,2198
2025-05-01T13:15:00+05:30,1.1304,1.13106,1.13031,1.13101,1885
2025-05-01T13:30:00+05:30,1.131,1.13245,1.131,1.13198,2363
2025-05-01T13:45:00+05:30,1.13198,1.13308,1.13192,1.13277,1857
2025-05-01T14:00:00+05:30,1.13278,1.1331,1.13232,1.13247,1452
2025-05-01T14:15:00+05:30,1.13249,1.1329,1.13198,1.13198,1244
2025-05-01T14:30:00+05:30,1.132,1.13248,1.13166,1.13168,1387
2025-05-01T14:45:00+05:30,1.13168,1.1325,1.13166,1.13216,1451
2025-05-01T15:00:00+05:30,1.13218,1.13231,1.13159,1.1319,1417
2025-05-01T15:15:00+05:30,1.13191,1.13218,1.13136,1.13144,1276
2025-05-01T15:30:00+05:30,1.13144,1.1325,1.13117,1.13246,1317
2025-05-01T15:45:00+05:30,1.13245,1.13268,1.13172,1.13182,1366
2025-05-01T16:00:00+05:30,1.13184,1.13298,1.13183,1.13278,1417
2025-05-01T16:15:00+05:30,1.13278,1.13343,1.13272,1.13324,1526
2025-05-01T16:30:00+05:30,1.13323,1.13344,1.13284,1.13316,1801
2025-05-01T16:45:00+05:30,1.13316,1.13412,1.13296,1.13372,2132
2025-05-01T17:00:00+05:30,1.13372,1.13385,1.1329,1.1329,1413
2025-05-01T17:15:00+05:30,1.1329,1.13296,1.13163,1.13202,2012
2025-05-01T17:30:00+05:30,1.13201,1.13254,1.13122,1.13141,2151
2025-05-01T17:45:00+05:30,1.1314,1.13186,1.13082,1.13185,2231
2025-05-01T18:00:00+05:30,1.13184,1.1339,1.1317,1.13171,6471
2025-05-01T18:15:00+05:30,1.1317,1.13227,1.13144,1.13152,3768
2025-05-01T18:30:00+05:30,1.1315,1.13276,1.13115,1.13225,3179
2025-05-01T18:45:00+05:30,1.13227,1.13244,1.13184,1.13236,2510
2025-05-01T19:00:00+05:30,1.13238,1.13243,1.13168,1.13168,3401
2025-05-01T19:15:00+05:30,1.13168,1.13229,1.1311,1.13198,2883
2025-05-01T19:30:00+05:30,1.1319,1.1319,1.12908,1.12946,5757
2025-05-01T19:45:00+05:30,1.12946,1.12962,1.12844,1.1291,4398
2025-05-01T20:00:00+05:30,1.12909,1.12924,1.12832,1.12888,3994
2025-05-01T20:15:00+05:30,1.1289,1.12916,1.127,1.12818,4270
2025-05-01T20:30:00+05:30,1.12817,1.12902,1.12781,1.12866,3229
2025-05-01T20:45:00+05:30,1.12866,1.12902,1.12744,1.12812,3444
2025-05-01T21:00:00+05:30,1.12811,1.12826,1.12676,1.1268,2259
2025-05-01T21:15:00+05:30,1.1268,1.12804,1.12658,1.12794,2660
2025-05-01T21:30:00+05:30,1.12794,1.12826,1.12728,1.12825,2395
2025-05-01T21:45:00+05:30,1.12826,1.12854,1.12749,1.12796,2030
2025-05-01T22:00:00+05:30,1.12797,1.12852,1.12786,1.12819,1194
2025-05-01T22:15:00+05:30,1.1282,1.12923,1.12816,1.12908,1439
2025-05-01T22:30:00+05:30,1.12908,1.12914,1.12841,1.12912,1154
2025-05-01T22:45:00+05:30,1.12912,1.12914,1.12819,1.12821,1003
2025-05-01T23:00:00+05:30,1.1282,1.1284,1.12798,1.12816,1222
2025-05-01T23:15:00+05:30,1.12817,1.12849,1.12803,1.1283,1227
2025-05-01T23:30:00+05:30,1.12828,1.12876,1.1275,1.12874,1574
2025-05-01T23:45:00+05:30,1.12874,1.12892,1.12776,1.12804,1700
2025-05-02T00:00:00+05:30,1.12803,1.12905,1.12796,1.12886,1343
2025-05-02T00:15:00+05:30,1.12886,1.12936,1.12824,1.12858,1569
2025-05-02T00:30:00+05:30,1.1286,1.12904,1.12826,1.12843,1516
2025-05-02T00:45:00+05:30,1.1284,1.12899,1.12814,1.12892,1144
2025-05-02T01:00:00+05:30,1.12892,1.12912,1.12859,1.12876,1105
2025-05-02T01:15:00+05:30,1.12877,1.12923,1.12851,1.12885,1342
2025-05-02T01:30:00+05:30,1.12884,1.12938,1.1288,1.12934,1151
2025-05-02T01:45:00+05:30,1.12932,1.12933,1.12857,1.12872,602
2025-05-02T02:00:00+05:30,1.12871,1.12924,1.12848,1.12923,909
2025-05-02T02:15:00+05:30,1.12924,1.12944,1.129,1.1291,525
2025-05-02T02:30:00+05:30,1.129,1.12904,1.1288,1.12884,53
2025-05-02T02:45:00+05:30,1.12886,1.12902,1.1288,1.12883,41
2025-05-02T03:00:00+05:30,1.12884,1.12896,1.12882,1.12885,83
2025-05-02T03:15:00+05:30,1.12884,1.12892,1.12874,1.1288,106
2025-05-02T03:30:00+05:30,1.12876,1.12938,1.12876,1.12904,395
2025-05-02T03:45:00+05:30,1.12904,1.12959,1.12904,1.12954,323
2025-05-02T04:00:00+05:30,1.12954,1.12994,1.12946,1.12967,425
2025-05-02T04:15:00+05:30,1.12968,1.12976,1.12936,1.12954,337
2025-05-02T04:30:00+05:30,1.12954,1.12958,1.1292,1.12944,610
2025-05-02T04:45:00+05:30,1.12944,1.12976,1.12932,1.12968,482
2025-05-02T05:00:00+05:30,1.12968,1.12971,1.12912,1.12949,483
2025-05-02T05:15:00+05:30,1.12946,1.12971,1.12944,1.12958,773
2025-05-02T05:30:00+05:30,1.12958,1.12993,1.12899,1.12904,1477
2025-05-02T05:45:00+05:30,1.12905,1.12909,1.12822,1.12822,2010
2025-05-02T06:00:00+05:30,1.12823,1.12836,1.12742,1.12752,2014
2025-05-02T06:15:00+05:30,1.12752,1.12829,1.12744,1.12822,2035
2025-05-02T06:30:00+05:30,1.12822,1.12866,1.12798,1.12866,1856
2025-05-02T06:45:00+05:30,1.12865,1.12872,1.12812,1.12828,1688
2025-05-02T07:00:00+05:30,1.12828,1.12874,1.12786,1.12865,1818
2025-05-02T07:15:00+05:30,1.12864,1.12957,1.1286,1.12956,1610
2025-05-02T07:30:00+05:30,1.12957,1.13016,1.12948,1.12979,1479
2025-05-02T07:45:00+05:30,1.12978,1.13034,1.12956,1.1299,1285
2025-05-02T08:00:00+05:30,1.12989,1.12992,1.1293,1.12978,1217
2025-05-02T08:15:00+05:30,1.1298,1.12984,1.12933,1.1294,709
2025-05-02T08:30:00+05:30,1.12941,1.12986,1.12939,1.12954,983
2025-05-02T08:45:00+05:30,1.12954,1.1309,1.12944,1.13083,1177
2025-05-02T09:00:00+05:30,1.13084,1.1314,1.13076,1.13111,1322
2025-05-02T09:15:00+05:30,1.1311,1.13158,1.13076,1.1313,987
2025-05-02T09:30:00+05:30,1.1313,1.1313,1.13052,1.13069,2036
2025-05-02T09:45:00+05:30,1.1307,1.1314,1.13046,1.13082,1589
2025-05-02T10:00:00+05:30,1.13082,1.13083,1.13035,1.1304,1382
2025-05-02T10:15:00+05:30,1.13042,1.13048,1.13012,1.13042,1142
2025-05-02T10:30:00+05:30,1.13042,1.13104,1.13023,1.13059,1319
2025-05-02T10:45:00+05:30,1.13058,1.13118,1.13054,1.13111,1051
2025-05-02T11:00:00+05:30,1.1311,1.13132,1.13086,1.13096,1024
2025-05-02T11:15:00+05:30,1.13096,1.13142,1.13037,1.13078,1686
2025-05-02T11:30:00+05:30,1.13078,1.13197,1.1306,1.13149,2957
2025-05-02T11:45:00+05:30,1.13148,1.1329,1.1314,1.13274,2506
2025-05-02T12:00:00+05:30,1.13272,1.13292,1.1319,1.13213,2042
2025-05-02T12:15:00+05:30,1.13212,1.1329,1.13176,1.13258,2034
2025-05-02T12:30:00+05:30,1.13259,1.13318,1.1322,1.13255,2667
2025-05-02T12:45:00+05:30,1.13254,1.13298,1.13182,1.13212,2156
2025-05-02T13:00:00+05:30,1.1321,1.13298,1.13176,1.13285,2129
2025-05-02T13:15:00+05:30,1.1329,1.1338,1.13248,1.13282,2437
2025-05-02T13:30:00+05:30,1.13281,1.13284,1.13161,1.13172,2796
2025-05-02T13:45:00+05:30,1.13173,1.13271,1.13164,1.13258,2217
2025-05-02T14:00:00+05:30,1.13256,1.1332,1.13244,1.13308,2353
2025-05-02T14:15:00+05:30,1.13307,1.13349,1.13287,1.13328,1982
2025-05-02T14:30:00+05:30,1.13332,1.13353,1.13262,1.13279,2089
2025-05-02T14:45:00+05:30,1.13278,1.1331,1.13254,1.1331,1916
2025-05-02T15:00:00+05:30,1.1331,1.13504,1.13304,1.1348,2825
2025-05-02T15:15:00+05:30,1.13479,1.13551,1.13459,1.13504,3345
2025-05-02T15:30:00+05:30,1.13502,1.1352,1.13445,1.13451,2410
2025-05-02T15:45:00+05:30,1.1345,1.13463,1.13414,1.1342,1677
2025-05-02T16:00:00+05:30,1.13422,1.13434,1.13314,1.13318,1602
2025-05-02T16:15:00+05:30,1.13317,1.13364,1.13278,1.13312,1825
2025-05-02T16:30:00+05:30,1.1331,1.13332,1.13244,1.13268,1806
2025-05-02T16:45:00+05:30,1.13268,1.1341,1.13257,1.13395,1795
2025-05-02T17:00:00+05:30,1.13394,1.13506,1.13368,1.1343,2565
2025-05-02T17:15:00+05:30,1.13429,1.13472,1.13384,1.13466,2777
2025-05-02T17:30:00+05:30,1.13466,1.13474,1.13367,1.13374,2600
2025-05-02T17:45:00+05:30,1.13376,1.13394,1.1327,1.13362,3176
2025-05-02T18:00:00+05:30,1.13366,1.13395,1.13043,1.13294,11760
2025-05-02T18:15:00+05:30,1.13292,1.13348,1.1314,1.13188,6748
2025-05-02T18:30:00+05:30,1.13188,1.13306,1.13146,1.13199,5339
2025-05-02T18:45:00+05:30,1.13201,1.13581,1.13201,1.13477,5674
2025-05-02T19:00:00+05:30,1.13478,1.13712,1.1345,1.13676,6475
2025-05-02T19:15:00+05:30,1.13674,1.138,1.13654,1.13728,5180
2025-05-02T19:30:00+05:30,1.13727,1.13811,1.13653,1.1369,5937
2025-05-02T19:45:00+05:30,1.1369,1.13699,1.13576,1.13642,4349
2025-05-02T20:00:00+05:30,1.13642,1.13749,1.13601,1.13631,4246
2025-05-02T20:15:00+05:30,1.13632,1.13732,1.136,1.13686,4038
2025-05-02T20:30:00+05:30,1.13684,1.13684,1.13552,1.13598,3582
2025-05-02T20:45:00+05:30,1.136,1.13602,1.13345,1.13373,3523
2025-05-02T21:00:00+05:30,1.13374,1.13417,1.13341,1.13342,3099
2025-05-02T21:15:00+05:30,1.1334,1.13364,1.13205,1.1329,3277
2025-05-02T21:30:00+05:30,1.13294,1.1338,1.13192,1.13376,5581
2025-05-02T21:45:00+05:30,1.13374,1.13392,1.13284,1.13343,2539
2025-05-02T22:00:00+05:30,1.13342,1.13354,1.1324,1.13318,2307
2025-05-02T22:15:00+05:30,1.13318,1.13318,1.13172,1.13199,3142
2025-05-02T22:30:00+05:30,1.132,1.13203,1.13052,1.1306,2716
2025-05-02T22:45:00+05:30,1.13064,1.13162,1.1304,1.13132,2187
2025-05-02T23:00:00+05:30,1.1313,1.13196,1.12984,1.1305,2221
2025-05-02T23:15:00+05:30,1.1305,1.131,1.13002,1.13042,2122
2025-05-02T23:30:00+05:30,1.13044,1.13087,1.13034,1.13046,1934
2025-05-02T23:45:00+05:30,1.13048,1.13066,1.13002,1.13052,1222
2025-05-03T00:00:00+05:30,1.13052,1.13055,1.12938,1.12964,1599
2025-05-03T00:15:00+05:30,1.12963,1.13014,1.12926,1.12998,2256
2025-05-03T00:30:00+05:30,1.12998,1.13089,1.12998,1.13067,1464
2025-05-03T00:45:00+05:30,1.13065,1.13084,1.13018,1.13023,937
2025-05-03T01:00:00+05:30,1.13022,1.13074,1.13007,1.13073,874
2025-05-03T01:15:00+05:30,1.13074,1.13077,1.13042,1.13046,1017
2025-05-03T01:30:00+05:30,1.13043,1.13053,1.13001,1.13012,721
2025-05-03T01:45:00+05:30,1.13014,1.13024,1.12976,1.12985,523
2025-05-03T02:00:00+05:30,1.12986,1.12992,1.12942,1.12953,418
2025-05-03T02:15:00+05:30,1.12958,1.1303,1.12938,1.13005,1242
2025-05-05T02:30:00+05:30,1.13062,1.13088,1.13032,1.13035,44
2025-05-05T02:45:00+05:30,1.13036,1.13048,1.1303,1.1303,25
2025-05-05T03:00:00+05:30,1.1303,1.13034,1.12968,1.12992,223
2025-05-05T03:15:00+05:30,1.12988,1.13061,1.12962,1.13018,255
2025-05-05T03:30:00+05:30,1.1302,1.13096,1.1298,1.13037,985
2025-05-05T03:45:00+05:30,1.13036,1.13096,1.13029,1.13086,1066
2025-05-05T04:00:00+05:30,1.13083,1.13138,1.13077,1.13134,1008
2025-05-05T04:15:00+05:30,1.13133,1.1315,1.13057,1.1306,640
2025-05-05T04:30:00+05:30,1.13062,1.13066,1.13024,1.13036,489
2025-05-05T04:45:00+05:30,1.13034,1.13122,1.13034,1.13122,689
2025-05-05T05:00:00+05:30,1.13122,1.13216,1.13112,1.13206,857
2025-05-05T05:15:00+05:30,1.13206,1.1328,1.13204,1.13213,1621
2025-05-05T05:30:00+05:30,1.13214,1.13241,1.1316,1.13202,1452
2025-05-05T05:45:00+05:30,1.13202,1.13218,1.13144,1.13167,1348
2025-05-05T06:00:00+05:30,1.13168,1.13177,1.13144,1.13176,1106
2025-05-05T06:15:00+05:30,1.13176,1.13232,1.13153,1.13226,1283
2025-05-05T06:30:00+05:30,1.13228,1.13329,1.13228,1.13323,2096
2025-05-05T06:45:00+05:30,1.13324,1.134,1.13312,1.1337,2217
2025-05-05T07:00:00+05:30,1.13372,1.13401,1.1326,1.13266,2282
2025-05-05T07:15:00+05:30,1.13268,1.13364,1.13262,1.1335,1631
2025-05-05T07:30:00+05:30,1.13352,1.13408,1.13318,1.1334,1706
2025-05-05T07:45:00+05:30,1.1334,1.13418,1.13318,1.13398,1273
2025-05-05T08:00:00+05:30,1.13399,1.13469,1.1339,1.13434,1252
2025-05-05T08:15:00+05:30,1.13432,1.13468,1.13385,1.13424,1176
2025-05-05T08:30:00+05:30,1.13424,1.13426,1.13322,1.13328,1180
2025-05-05T08:45:00+05:30,1.13328,1.13362,1.13309,1.13361,857
2025-05-05T09:00:00+05:30,1.1336,1.13364,1.13286,1.133,677
2025-05-05T09:15:00+05:30,1.13302,1.13325,1.13285,1.13323,732
2025-05-05T09:30:00+05:30,1.13324,1.13392,1.13319,1.13366,1116
2025-05-05T09:45:00+05:30,1.13366,1.13376,1.13336,1.13366,829
2025-05-05T10:00:00+05:30,1.13368,1.13374,1.13287,1.13342,946
2025-05-05T10:15:00+05:30,1.13343,1.1339,1.13336,1.13374,960
2025-05-05T10:30:00+05:30,1.13375,1.13466,1.13352,1.13463,1563
2025-05-05T10:45:00+05:30,1.13464,1.13476,1.13426,1.13448,1525
2025-05-05T11:00:00+05:30,1.13449,1.13475,1.13363,1.13373,2203
2025-05-05T11:15:00+05:30,1.13372,1.13409,1.13304,1.13334,2292
2025-05-05T11:30:00+05:30,1.13333,1.13362,1.13278,1.13322,2789
2025-05-05T11:45:00+05:30,1.13322,1.13372,1.13242,1.13272,2085
2025-05-05T12:00:00+05:30,1.13268,1.13284,1.13182,1.1325,2742
2025-05-05T12:15:00+05:30,1.13249,1.1331,1.13182,1.13261,2417
2025-05-05T12:30:00+05:30,1.1326,1.13288,1.13188,1.13262,2603
2025-05-05T12:45:00+05:30,1.1326,1.1331,1.13202,1.1322,2014
2025-05-05T13:00:00+05:30,1.1322,1.13275,1.13194,1.13235,2062
2025-05-05T13:15:00+05:30,1.13238,1.13242,1.1313,1.1313,2233
2025-05-05T13:30:00+05:30,1.1313,1.13263,1.13114,1.13255,2547
2025-05-05T13:45:00+05:30,1.13253,1.13274,1.13215,1.13248,1808
2025-05-05T14:00:00+05:30,1.1325,1.13284,1.13196,1.13275,2142
2025-05-05T14:15:00+05:30,1.13274,1.13328,1.13212,1.13264,2869
2025-05-05T14:30:00+05:30,1.13266,1.13394,1.13264,1.13368,2316
2025-05-05T14:45:00+05:30,1.13368,1.13419,1.13314,1.13406,2049
